,title,sponsers,texts
4113,"A bill to require the Secretary of the Treasury to convene a panel of citizens to make a recommendation to the Secretary regarding the likeness of a woman on the ten dollar bill, and for other purposes.","[Sen. Shaheen, Jeanne [D-NH]]", Requires the Secretary and the panel to consider and weigh input from the American people.
4114,Court-Appointed Guardian Accountability and Senior Protection Act,"[Sen. Klobuchar, Amy [D-MN], Sen. Cornyn, John [R-TX]]"," Amends title XX (Block Grants to States for Social Services and Elder Justice) of the Social Security Act to direct the Secretary of Health and Human Services to award grants to the highest courts of states to conduct demonstration programs that: (1) assess adult guardianship and conservatorship proceedings, including the appointment and the monitoring of the performance of court-appointed guardians and conservators; and (2) implement changes deemed necessary as a result of the assessments, such as requiring background checks for all potential guardians and conservators, and establishing systems that enable electronic filing and review of the annual accountings and other required conservatorship and guardianship filings."
4115,Domestic Refugee Resettlement Reform and Modernization Act of 2015,"[Sen. Peters, Gary C. [D-MI], None, Sen. Stabenow, Debbie [D-MI]]", Requires the Government Accountability Office to study the effectiveness of the Office of Refugee Resettlement's domestic refugee resettlement programs. 
4116,Saving Federal Dollars Through Better Use of Government Purchase and Travel Cards Act of 2015,"[Sen. McCaskill, Claire [D-MO], Sen. Johnson, Ron [R-WI], None, Sen. Carper, Thomas R. [D-DE], Sen. Grassley, Chuck [R-IA], Sen. McCaskill, Claire [D-MO], Sen. Johnson, Ron [R-WI], None, Sen. Carper, Thomas R. [D-DE]]","Requires the General Services Administration (GSA) to establish an Office of Federal Charge Card Analytics and Review (OFCCAR) for improving the use and oversight of purchase and travel card transactions by federal agencies and programs, including for purposes of: (1) identifying and preventing improper payments and other inappropriate use of purchase and travel cards that do not conform with federal or agency purchase laws, policies, rules, or best practices; and (2) determining opportunities for strategic sourcing (defined as analyzing and modifying a federal agency's spending patterns to better leverage its purchasing power, reduce costs, and improve overall performance)."
4117,Hizballah International Financing Prevention Act of 2015,"[Sen. Rubio, Marco [R-FL], Sen. Shaheen, Jeanne [D-NH], Sen. Ayotte, Kelly [R-NH], Sen. Blumenthal, Richard [D-CT], Sen. Crapo, Mike [R-ID], Sen. Roberts, Pat [R-KS], Sen. Rounds, Mike  [R-SD], Sen. Wyden, Ron [D-OR], Sen. Peters, Gary C. [D-MI], Sen. McCain, John [R-AZ], Sen. Markey, Edward J. [D-MA], Sen. Toomey, Pat [R-PA], Sen. Collins, Susan M. [R-ME], Sen. Klobuchar, Amy [D-MN], Sen. Portman, Rob [R-OH], Sen. Moran, Jerry [R-KS], Sen. Graham, Lindsey [R-SC], Sen. Cruz, Ted [R-TX], Sen. Hatch, Orrin G. [R-UT], Sen. Boozman, John [R-AR], Sen. Lankford, James [R-OK], Sen. Isakson, Johnny [R-GA], Sen. Thune, John [R-SD], Sen. Kirk, Mark Steven [R-IL], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Bennet, Michael F. [D-CO], Sen. Donnelly, Joe [D-IN], Sen. Heller, Dean [R-NV]]","Directs the President to report to Congress annually identifying: (1) satellite, broadcast, Internet, or other providers that have knowingly entered into a contractual relationship with al-Manar TV and its affiliates; and (2) the identity of those providers that have or have not been sanctioned pursuant to Executive Order 13224. "
4118,Wireless Innovation Act of 2015,"[Sen. Rubio, Marco [R-FL], Sen. Ayotte, Kelly [R-NH], Sen. Wicker, Roger F. [R-MS], Sen. Gardner, Cory [R-CO], Sen. Johnson, Ron [R-WI], Sen. Cruz, Ted [R-TX]]","Amends the National Telecommunications and Information Administration Organization Act to require the Secretary of Commerce to report to the President and Congress with recommendations to reallocate a span of at least 200 megahertz of spectrum, located below 5 gigahertz, from federal government use to: (1) commercial use on an exclusive, licensed basis; (2) unlicensed use to protect licensed services from harmful interference; and (3) shared use between federal government stations and nonfederal stations. "
4119,"Department of Homeland Security Appropriations Act, 2016","[Sen. Hoeven, John [R-ND]]",Provides FY2016 appropriations to the Department of Homeland Security (DHS). 
4120,DHS IT Duplication Reduction Act of 2015,"[Sen. Johnson, Ron [R-WI]]",Directs the Chief Information Officer of the Department of Homeland Security (DHS) to report on: 
4121,Ending Mobile and Broadband Welfare Act of 2015,"[Sen. Vitter, David [R-LA]]","Prohibits a commercial mobile service or Internet access service provider from receiving universal service support for the provision of such service through the Federal Communications Commission's Lifeline program, which provides discounts on monthly telephone service to qualifying low-income consumers. "
4122,"S. 1622, FDA Device Accountability Act of 2016","[Sen. Burr, Richard [R-NC], Sen. Franken, Al [D-MN], Sen. Kirk, Mark Steven [R-IL], Sen. Enzi, Michael B. [R-WY], Sen. Alexander, Lamar [R-TN]]","This bill amends the Federal Food, Drug, and Cosmetic Act to require the Food and Drug Administration (FDA) to ensure that employees who review premarket submissions of medical devices receive training on least burdensome requirements. (Currently, the FDA is required to consider the least burdensome appropriate means for a device sponsor to demonstrate the effectiveness of a device or its substantial equivalence to an approved device.) The FDA must periodically assess the implementation of those requirements."
4123,Maritime Washington National Heritage Area Act,"[Sen. Cantwell, Maria [D-WA], Sen. Murray, Patty [D-WA]]",This bill establishes the Maritime Washington National Heritage Area in the state of Washington. 
4124,Motorsports Fairness and Permanency Act,"[Sen. Shaheen, Jeanne [D-NH], Sen. Ayotte, Kelly [R-NH], Sen. Peters, Gary C. [D-MI], Sen. Wicker, Roger F. [R-MS], Sen. Nelson, Bill [D-FL], Sen. Cochran, Thad [R-MS], Sen. Warner, Mark R. [D-VA], Sen. Moran, Jerry [R-KS], Sen. Grassley, Chuck [R-IA], Sen. Graham, Lindsey [R-SC], None, Sen. Stabenow, Debbie [D-MI]]","Amends the Internal Revenue Code to make permanent the classification, for depreciation purposes, of any motorsports entertainment complex as seven-year property."
4125,A bill to require a report on the location of C-130 Modular Airborne Firefighting System units.,"[Sen. Daines, Steve [R-MT]]",The report shall include: 
4126,"Railroad Reform, Enhancement, and Efficiency Act","[None, Sen. Wicker, Roger F. [R-MS]]",This bill reauthorizes FY2016-FY2019 grants to the National Railroad Passenger Corporation (Amtrak) for:
4127,Human Rights Accountability Act of 2015,"[Sen. Cruz, Ted [R-TX], Sen. Kirk, Mark Steven [R-IL]]",This bill requires that 5% of the funds appropriated or otherwise made available for a fiscal year for the Department of State's diplomatic and consular programs (and not designated for worldwide security protection) be withheld from obligation for every 30 days the Department's human rights report is late.
4128,A bill to preserve the current amount of basic allowance for housing for certain married members of the uniformed services.,"[Sen. Daines, Steve [R-MT]]",NA
4129,"District of Columbia Courts, Public Defender Service, and Court Services and Offender Supervision Agency Act of 2015","[Sen. Johnson, Ron [R-WI], Sen. Carper, Thomas R. [D-DE]]", Amends the District of Columbia Code to authorize the Executive Officer of the District of Columbia courts to:
4130,PLUS Act,"[Sen. Risch, James E. [R-ID]]","This bill amends the National Labor Relations Act and the Labor Management Relations Act, 1947 to make it an unlawful labor practice for a labor organization or its agents while representing, or seeking to represent, employees engaged in maritime employment to engage in a labor slowdown at any time, including when a collective-bargaining agreement is in effect."
4131,Keep Our Pension Promises Act,"[Sen. Baldwin, Tammy [D-WI], Sen. Stabenow, Debbie [D-MI], Sen. Franken, Al [D-MN], Sen. Reed, Jack [D-RI], Sen. Peters, Gary C. [D-MI], Sen. Whitehouse, Sheldon [D-RI], Sen. McCaskill, Claire [D-MO], Sen. Klobuchar, Amy [D-MN], Sen. Boxer, Barbara [D-CA], None, Sen. Sanders, Bernard [I-VT]]",This bill repeals the elimination of the pension anti-cutback provisions under the Multiemployer Pension Reform Act of 2014. The anti-cutback provisions prohibit reductions in pension benefits to participants in multiemployer pension plans. 
4132,"S. 1632, a bill to require a regional strategy to address the threat posed by Boko Haram","[Sen. Collins, Susan M. [R-ME], Sen. Ayotte, Kelly [R-NH], Sen. Baldwin, Tammy [D-WI], Sen. Fischer, Deb [R-NE], Sen. Mikulski, Barbara A. [D-MD], Sen. Klobuchar, Amy [D-MN], Sen. Feinstein, Dianne [D-CA], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Murkowski, Lisa [R-AK], Sen. Cantwell, Maria [D-WA], Sen. Shaheen, Jeanne [D-NH], Sen. Capito, Shelley Moore [R-WV], Sen. Stabenow, Debbie [D-MI], Sen. Heitkamp, Heidi [D-ND], Sen. Murray, Patty [D-WA], Sen. Rubio, Marco [R-FL], Sen. Hirono, Mazie K. [D-HI], Sen. Vitter, David [R-LA], Sen. Inhofe, James M. [R-OK], Sen. Inhofe, James M. [R-OK], None, Sen. Lankford, James [R-OK]]", Such strategy must address the following elements: 
4133,Celebrating the First Woman in Congress Currency Act,"[Sen. Daines, Steve [R-MT]]",This bill amends the Federal Reserve Act to prohibit Federal Reserve Notes from bearing the likeness of any woman other than that of Jeannette Rankin until after the date upon which Federal Reserve Notes bearing her likeness are first printed.
4134,Railroad Antitrust Enforcement Act of 2015,"[Sen. Leahy, Patrick J. [D-VT], Sen. Franken, Al [D-MN], Sen. Baldwin, Tammy [D-WI], None, Sen. Klobuchar, Amy [D-MN]]","Amends the Clayton Act to grant the United States exclusive authority to bring suit for injunctive relief against any common carrier that is not a rail common carrier and that is subject to the jurisdiction of the Surface Transportation Board (STB). This covers motor carriers, water carriers, brokers, freight forwarders, and pipeline carriers."
4135,"Department of State Authorities Act, Fiscal Year 2017","[Sen. Corker, Bob [R-TN], None, Sen. Corker, Bob [R-TN]]",TITLE I--DEPARTMENT OF STATE AUTHORITIES AND ACTIVITIES
4136,Just Google It Act,"[Sen. Kirk, Mark Steven [R-IL], Sen. Ayotte, Kelly [R-NH], Sen. Cotton, Tom [R-AR], Sen. Perdue, David [R-GA], Sen. Lankford, James [R-OK]]"," Repeals the National Technical Information Act of 1988, effective one year after the enactment of this Act (thus abolishes the National Technical Information Service [NTIS]). "
4137,Protecting Adoption and Promoting Responsible Fatherhood Act of 2015,"[Sen. Inhofe, James M. [R-OK]]", Amends part B (Child and Family Services) of title IV of the Social Security Act to direct the Secretary of Health and Human Services to establish and maintain an automated National Responsible Father Registry.
4138,Department of Homeland Security Headquarters Consolidation Accountability Act of 2015,"[None, Sen. Johnson, Ron [R-WI]]","Directs the Department of Homeland Security (DHS), in coordination with the General Services Administration (GSA), to submit information on the implementation of the enhanced plan for the DHS headquarters consolidation project within the National Capital Region, approved by the Office of Management and Budget and included in the budget of the President for FY2016, that includes:"
4139,Education Stability for Foster Youth Act,"[Sen. Murray, Patty [D-WA], Sen. Hatch, Orrin G. [R-UT], None, Sen. Franken, Al [D-MN]]","This bill amends the Elementary and Secondary Education Act of 1965 to require a state plan for academic content and achievement standards to describe how the state will ensure the educational stability of children in foster care. Specifically, a state plan must include assurances that: (1) a foster child will remain or be enrolled in the child’s school of origin absent a determination that such enrollment is not in the child’s best interest; (2) if such a determination is made, the child will be immediately enrolled in a new school, which must immediately contact the child’s previous school to obtain relevant records; and (3) the state will designate a point of contact for child welfare agencies, who shall also oversee implementation of the state’s responsibilities under the bill. "
4140,"Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act","[Sen. Sessions, Jeff [R-AL], Sen. Cotton, Tom [R-AR], Sen. Perdue, David [R-GA], Sen. Vitter, David [R-LA], Sen. Inhofe, James M. [R-OK], Sen. Boozman, John [R-AR], Sen. Cruz, Ted [R-TX], Sen. Isakson, Johnny [R-GA]]",Amends the Immigration and Nationality Act (INA) and related federal law with respect to immigration law enforcement within the United States.
